34;44;Americana;Santa Barbara;Seila2;Americana;Campinas;Santa Barbara;Itatiba;55;Americana;Campinas;35;Seila2;53
Itatiba;Seila;Americana;72;Itatiba;Americana;34;61;Campinas;Jose;Jose;Jose;Sumare;15;Itatiba
Americana;Neide;Seila;Maria;Americana;52;17;62;Santa Barbara;42;Neide;Campinas;Campinas;Maria;58
Not Named;Seila2;67;17;Not Named;Campinas;Not Named;Americana;Sumare;Itatiba;Santa Barbara;Not Named;Campinas;Americana;23
Sumare;Not Named;Campinas;66;Americana;Seila2;21;58;66;Neide;Sumare;63;Itatiba;Campinas;Itatiba
Itatiba;Americana;60;Campinas;Americana;Campinas;Sumare;20;Itatiba;Americana;Santa Barbara;Itatiba;Campinas;Neide;Itatiba
Seila;Itatiba;Campinas;Sumare;Itatiba;68;11;Campinas;Itatiba;Seila;Americana;75;Campinas;67;Sumare
Maria;Americana;Seila2;Santa Barbara;Seila2;50;33;Americana;Campinas;68;Americana;Americana;Seila2;Neide;Sumare
21;52;Not Named;Sumare;Sumare;Americana;Campinas;76;Campinas;Santa Barbara;Maria;71;Campinas;Americana;73
Itatiba;74;51;Santa Barbara;Americana;Itatiba;Neide;Maria;Itatiba;Seila;Seila;75;12;Americana;Americana
Not Named;20;Itatiba;67;Neide;Itatiba;Campinas;59;Itatiba;Campinas;Sumare;47;Maria;Campinas;52
Campinas;Americana;65;Sumare;Sumare;Neide;Americana;Itatiba;Americana;65;14;Maria;33;Itatiba;53
Campinas;47;Santa Barbara;Americana;Itatiba;Sumare;Neide;Seila;Seila;Sumare;65;Neide;30;Americana;Jose
67;Sumare;43;Campinas;Itatiba;Not Named;13;16;74;Maria;Campinas;Santa Barbara;Not Named;Jose;Sumare
38;Neide;Campinas;46;60;Campinas;Neide;Seila2;Seila2;Santa Barbara;Maria;Neide;51;13;Maria
Sumare;Seila2;Seila;Campinas;Americana;Campinas;50;74;Campinas;Sumare;69;Campinas;53;Americana;Maria
Santa Barbara;Campinas;72;Jose;Itatiba;Sumare;13;Itatiba;20;Maria;69;Neide;Seila2;Americana;Not Named
66;19;Not Named;Jose;Campinas;68;Sumare;63;Seila;Santa Barbara;38;44;Seila;Sumare;Not Named
Maria;Seila;Seila;Maria;Americana;Americana;68;Americana;Sumare;Itatiba;Campinas;Seila2;Itatiba;Itatiba;Maria
Itatiba;Jose;56;55;18;Sumare;65;Neide;Maria;55;Sumare;Jose;Itatiba;53;Sumare
54;77;Santa Barbara;Campinas;Maria;32;51;Americana;Seila2;75;Campinas;Seila2;Campinas;Americana;Americana
Seila2;72;Neide;Sumare;Americana;Itatiba;Maria;Jose;25;Itatiba;Itatiba;Itatiba;71;Seila2;Americana
26;Americana;56;Maria;Neide;33;Campinas;27;Americana;Itatiba;Itatiba;Itatiba;Sumare;Americana;42
Americana;17;Sumare;Seila;Sumare;31;Americana;Seila;Americana;Campinas;Sumare;Maria;Neide;Campinas;Santa Barbara
Campinas;58;Itatiba;46;Neide;Americana;Maria;Americana;Santa Barbara;15;18;45;Not Named;Campinas;Seila2
Itatiba;Itatiba;Seila;Sumare;Santa Barbara;Sumare;Itatiba;64;Not Named;Campinas;Campinas;Jose;Neide;Seila2;Campinas
Campinas;59;15;Campinas;55;Seila;Itatiba;Itatiba;51;Americana;Americana;Campinas;Campinas;Americana;Seila2
28;67;Santa Barbara;Seila2;44;Campinas;Santa Barbara;63;60;44;Sumare;69;60;Seila;Itatiba
Sumare;Itatiba;Campinas;Sumare;Itatiba;71;Americana;Americana;Campinas;Maria;Neide;Americana;Americana;Campinas;Seila2
Campinas;11;Itatiba;Sumare;19;Itatiba;Neide;Itatiba;Campinas;Itatiba;Americana;Seila2;18;Americana;Campinas
Campinas;Santa Barbara;70;Not Named;24;Itatiba;Jose;14;Itatiba;Americana;49;Seila;Seila;Sumare;Sumare
Neide;59;Itatiba;Americana;63;Americana;Santa Barbara;Itatiba;69;Campinas;Jose;Seila2;Itatiba;Not Named;Neide
Campinas;53;Not Named;Americana;Sumare;Sumare;Itatiba;Neide;Maria;Campinas;31;Campinas;Americana;Neide;Itatiba
Campinas;Not Named;Campinas;74;Americana;Americana;16;Neide;Santa Barbara;53;Maria;Jose;Seila;73;Maria
24;Santa Barbara;Neide;Seila2;Itatiba;37;Santa Barbara;11;Seila;30;Santa Barbara;Sumare;Not Named;Not Named;Neide
Sumare;54;61;Maria;Neide;Campinas;Itatiba;Sumare;26;31;Sumare;Campinas;Santa Barbara;Campinas;63
26;Santa Barbara;47;Americana;10;Jose;Americana;32;Americana;64;43;Maria;Neide;67;20
Americana;Neide;Campinas;Neide;Santa Barbara;Sumare;69;Itatiba;49;Seila;65;21;Itatiba;59;Sumare
Jose;Jose;18;Seila;Neide;Neide;Santa Barbara;Campinas;Campinas;Seila2;Itatiba;Seila2;Itatiba;Santa Barbara;Seila2
Seila;Americana;53;Santa Barbara;23;Campinas;Campinas;64;Campinas;26;Santa Barbara;54;34;Campinas;Campinas
Seila;Itatiba;26;Americana;Americana;28;Americana;Neide;29;Americana;Santa Barbara;Americana;Itatiba;42;Campinas
Seila;Maria;19;Neide;24;Maria;Campinas;Seila2;Americana;Santa Barbara;72;Jose;Itatiba;29;Sumare
Americana;Neide;Itatiba;Santa Barbara;Americana;Itatiba;69;Seila2;Americana;Campinas;Sumare;67;34;60;52
Campinas;Americana;Americana;Itatiba;14;Americana;Campinas;Americana;49;46;Sumare;Jose;Campinas;Campinas;Maria
Seila2;Americana;Campinas;Americana;19;24;Americana;57;Maria;Itatiba;Americana;Neide;Americana;50;73
Itatiba;Campinas;Americana;Maria;Neide;Campinas;Sumare;39;Campinas;Neide;Americana;Americana;Maria;Sumare;49
Neide;57;Campinas;10;Itatiba;57;Maria;Americana;50;30;Maria;Americana;18;Itatiba;55
20;76;Maria;62;Americana;Campinas;Seila;Seila2;Santa Barbara;Itatiba;Seila;Americana;66;Seila2;27
Americana;Americana;Maria;Americana;Americana;Santa Barbara;Itatiba;Santa Barbara;Neide;55;Seila;30;Itatiba;73;Sumare
Sumare;Seila2;Jose;Neide;Itatiba;Campinas;Itatiba;Campinas;Campinas;Maria;76;Americana;Sumare;Campinas;38
Campinas;Santa Barbara;Seila2;46;Americana;Itatiba;Maria;Maria;Campinas;Santa Barbara;21;Itatiba;Seila;Santa Barbara;Neide
Itatiba;Neide;Campinas;Itatiba;23;51;Seila2;Santa Barbara;Americana;Americana;Itatiba;Americana;39;43;Jose
45;Seila;Neide;39;Not Named;Campinas;Itatiba;Santa Barbara;Seila2;Neide;Americana;Campinas;Campinas;Itatiba;Seila2
36;Campinas;Itatiba;61;Seila2;Americana;Sumare;Seila2;Sumare;Americana;Campinas;70;Jose;Itatiba;Maria
72;Campinas;28;Campinas;27;47;Campinas;33;Santa Barbara;Campinas;30;Campinas;33;Not Named;41
Americana;53;Sumare;Seila;Americana;76;42;50;46;Americana;Itatiba;Campinas;Itatiba;Americana;15
Seila2;Santa Barbara;Sumare;Campinas;Campinas;Americana;Neide;Americana;Seila2;16;Campinas;38;Itatiba;Campinas;Itatiba
Itatiba;32;Seila2;Americana;Santa Barbara;Sumare;Santa Barbara;Americana;Not Named;Americana;Neide;Neide;52;Seila;16
32;Seila;Sumare;64;Americana;Americana;Not Named;Seila;57;Campinas;Jose;57;Neide;Campinas;Campinas
64;14;Neide;Jose;56;Neide;14;Americana;Campinas;Seila;Itatiba;Not Named;Itatiba;Itatiba;Americana
49;78;66;68;Jose;Sumare;Americana;Itatiba;46;Campinas;78;Americana;Itatiba;Sumare;Campinas
78;Sumare;74;24;15;Itatiba;Sumare;Seila2;Campinas;Sumare;Itatiba;Campinas;Neide;Campinas;Neide
Campinas;71;Seila2;Campinas;Neide;71;32;Campinas;54;Campinas;56;Campinas;Americana;42;Sumare
Americana;Campinas;Maria;Sumare;Campinas;Americana;Itatiba;Americana;Americana;Itatiba;54;Seila2;Seila2;64;Campinas
Itatiba;55;Americana;Not Named;19;Itatiba;Itatiba;Sumare;Santa Barbara;61;Maria;Campinas;Neide;Campinas;48
73;Sumare;Itatiba;19;Seila;Seila2;Seila2;Campinas;75;Seila;32;35;Maria;Americana;Americana
52;Seila;Itatiba;Itatiba;Campinas;Seila;Seila;78;Maria;61;71;Maria;Sumare;68;Americana
Itatiba;69;Americana;Itatiba;Neide;41;Jose;Campinas;Itatiba;Maria;Maria;Campinas;Maria;Campinas;Seila
Campinas;Maria;Americana;Campinas;Neide;Sumare;12;Sumare;Not Named;Neide;25;Seila2;18;65;Sumare
Seila;Americana;Americana;23;Not Named;Seila;Campinas;Santa Barbara;Neide;Sumare;Santa Barbara;Campinas;Seila;Neide;Seila2
Itatiba;Seila2;Seila2;23;Americana;Americana;Santa Barbara;Americana;Campinas;Americana;Seila2;Itatiba;46;Neide;Santa Barbara
Americana;34;41;18;Neide;Maria;24;Campinas;Santa Barbara;Sumare;14;Americana;Sumare;Americana;Seila
Not Named;Not Named;Maria;Itatiba;Not Named;Itatiba;Santa Barbara;Itatiba;Not Named;69;Itatiba;Seila2;Santa Barbara;44;Not Named
Santa Barbara;Sumare;Neide;Neide;Campinas;19;54;Not Named;Itatiba;Americana;Seila;Americana;Campinas;Campinas;Campinas
Itatiba;Sumare;Americana;Seila;Campinas;Seila;Seila;67;Seila;Campinas;Campinas;Campinas;Sumare;Americana;Itatiba
Maria;Seila;Maria;57;Americana;Seila;Americana;53;30;Americana;Campinas;Americana;Seila;Maria;62
Itatiba;31;Americana;Santa Barbara;Santa Barbara;Seila;Campinas;33;13;Americana;Campinas;Itatiba;Itatiba;27;53
Itatiba;Santa Barbara;67;Maria;Sumare;Campinas;Campinas;Seila2;Maria;27;Seila;37;Sumare;Campinas;Sumare
Seila;Sumare;59;Santa Barbara;72;Itatiba;43;Campinas;Santa Barbara;Campinas;Seila;37;Campinas;48;Campinas
Maria;Campinas;Neide;Campinas;Jose;Maria;Campinas;Campinas;Santa Barbara;18;Americana;29;Sumare;Campinas;Neide
Maria;Itatiba;Campinas;Americana;Not Named;31;Americana;Not Named;Itatiba;Americana;Seila2;Maria;Itatiba;Santa Barbara;Campinas
Santa Barbara;Maria;Santa Barbara;Americana;Santa Barbara;Santa Barbara;57;35;Campinas;Sumare;Campinas;Campinas;Santa Barbara;69;Campinas
17;Santa Barbara;Jose;Neide;Americana;Santa Barbara;69;Campinas;43;Campinas;Santa Barbara;Seila2;Itatiba;Santa Barbara;21
Santa Barbara;Neide;Maria;23;Campinas;54;Maria;17;Neide;27;Americana;10;Sumare;Not Named;Sumare
Campinas;Americana;62;68;Campinas;Seila;43;Americana;Maria;Campinas;Campinas;65;56;Americana;Seila
71;Neide;Sumare;Americana;Neide;45;Sumare;Santa Barbara;38;14;Americana;Neide;16;37;Americana
77;71;Santa Barbara;Itatiba;Seila2;Sumare;Americana;Seila2;Itatiba;63;Americana;Itatiba;Santa Barbara;62;Americana
52;Seila;43;Americana;Neide;Americana;26;Campinas;Seila;Itatiba;47;Seila2;65;34;68
Itatiba;Campinas;Campinas;Americana;46;Seila;62;Americana;Campinas;Maria;78;77;Sumare;78;16
Seila;Seila;Neide;Campinas;Americana;62;Americana;Campinas;Americana;Campinas;Sumare;Sumare;70;Neide;Itatiba
Campinas;66;20;Americana;Itatiba;31;Not Named;Campinas;Campinas;Sumare;Seila;Itatiba;Campinas;Jose;Americana
49;Itatiba;57;Campinas;33;Itatiba;49;Campinas;Santa Barbara;Itatiba;Itatiba;15;Santa Barbara;Americana;Seila2
61;Neide;Not Named;Itatiba;53;73;19;10;Sumare;Neide;Seila;63;Campinas;Itatiba;Itatiba
Americana;Itatiba;71;61;Itatiba;Campinas;47;Campinas;Itatiba;55;Campinas;58;30;63;73
68;Americana;Neide;Campinas;23;Seila;Campinas;Itatiba;Neide;Santa Barbara;38;Campinas;Sumare;Americana;24
Santa Barbara;Sumare;Neide;Neide;Americana;63;Itatiba;62;Santa Barbara;Santa Barbara;Itatiba;Seila;Itatiba;37;Seila2
29;38;Itatiba;Neide;Campinas;Santa Barbara;24;Itatiba;Maria;Campinas;Seila2;Not Named;Americana;Maria;37
Neide;39;Itatiba;Campinas;Jose;Jose;Jose;Campinas;Campinas;70;Campinas;56;23;Campinas;Americana
Campinas;Itatiba;36;Americana;Santa Barbara;Seila;37;Campinas;27;Seila;Seila;Itatiba;Campinas;Campinas;Maria
Seila;28;Seila2;Campinas;45;Maria;Americana;Seila;Santa Barbara;42;Americana;Americana;Seila;Americana;67
Seila;Neide;66;Sumare;58;Seila;15;Itatiba;Santa Barbara;45;Sumare;15;Itatiba;Campinas;Neide
Not Named;Jose;28;Not Named;Americana;Americana;38;Neide;74;55;Seila2;Itatiba;Americana;12;30
Seila;44;Not Named;56;52;Campinas;Itatiba;Maria;Americana;Itatiba;Itatiba;Maria;Seila;Campinas;Seila
Santa Barbara;58;Santa Barbara;65;12;Seila2;Americana;Campinas;Santa Barbara;43;66;Seila2;Seila;Itatiba;Seila2
Seila2;20;Americana;Itatiba;Seila2;Sumare;48;Campinas;Americana;Seila;Seila2;Americana;Campinas;Santa Barbara;Seila2
Jose;Campinas;52;Sumare;Campinas;Itatiba;Campinas;Americana;Not Named;Americana;Seila2;18;38;13;52
Sumare;Sumare;Americana;74;Campinas;39;30;Campinas;Santa Barbara;Campinas;Americana;15;17;38;Americana
Maria;52;Not Named;64;Campinas;Campinas;28;Campinas;Campinas;74;Santa Barbara;Campinas;10;Seila;Americana
46;Sumare;63;Campinas;Seila2;Seila2;Maria;16;Santa Barbara;66;16;Seila;Itatiba;Seila;Maria
39;Seila2;Seila;Itatiba;Neide;Campinas;Americana;Santa Barbara;Not Named;Maria;Campinas;Jose;Campinas;Americana;Americana
Maria;15;27;Seila;Itatiba;Not Named;Americana;78;Jose;Americana;Itatiba;Seila2;Not Named;53;Seila
Americana;70;Santa Barbara;Americana;Sumare;Seila;Itatiba;Not Named;Seila;Campinas;Americana;Seila2;Sumare;Americana;75
Sumare;Americana;Campinas;Neide;Americana;Seila;Campinas;Santa Barbara;65;15;Neide;Sumare;36;41;35
Itatiba;Itatiba;Sumare;Santa Barbara;Itatiba;32;Itatiba;37;Itatiba;Americana;Americana;Seila2;41;Santa Barbara;Seila2
36;Neide;48;Americana;Maria;11;Campinas;Itatiba;Seila2;Campinas;62;Neide;75;Seila;Campinas
18;Campinas;Seila;Maria;Jose;33;Campinas;Maria;41;23;Campinas;49;Seila;Campinas;Sumare
Itatiba;Santa Barbara;Itatiba;66;Campinas;Campinas;Campinas;Maria;Maria;Neide;Itatiba;Maria;Not Named;Itatiba;Itatiba
Americana;Neide;46;51;Campinas;34;Jose;Itatiba;11;77;Santa Barbara;Sumare;Sumare;Seila;Neide
Seila2;64;51;59;Not Named;Americana;Seila2;Sumare;Itatiba;Americana;Campinas;Campinas;29;Americana;Campinas
65;28;68;Campinas;56;Maria;Seila2;Seila;Neide;Santa Barbara;Campinas;26;Itatiba;Neide;Neide
Sumare;44;Neide;Itatiba;27;27;Seila2;Americana;Campinas;Itatiba;Santa Barbara;Maria;40;46;Campinas
Campinas;Neide;Jose;64;Itatiba;Seila2;Jose;72;Americana;Campinas;52;Santa Barbara;Americana;Itatiba;Seila2
22;Itatiba;Campinas;70;Itatiba;Campinas;Americana;Neide;39;25;73;Americana;Sumare;Campinas;Itatiba
Americana;Seila2;Seila2;Itatiba;Americana;64;Campinas;Maria;Itatiba;Sumare;Sumare;Campinas;Itatiba;Itatiba;Itatiba
Santa Barbara;35;Itatiba;Campinas;Neide;23;Sumare;57;Sumare;Campinas;Seila2;47;Campinas;Itatiba;31
Seila2;54;Seila2;Santa Barbara;Neide;37;Campinas;Americana;Americana;Maria;Seila;Americana;Americana;Sumare;43
Maria;Not Named;Sumare;61;69;12;Americana;Itatiba;Americana;Sumare;26;29;Americana;Maria;Santa Barbara
Americana;Americana;74;Americana;Itatiba;Maria;Jose;Sumare;61;Sumare;Seila;72;Campinas;Campinas;Sumare
Itatiba;Seila;Americana;Itatiba;Neide;Maria;Americana;Jose;Sumare;Campinas;41;Itatiba;Americana;58;15
Neide;54;Campinas;39;64;Neide;Itatiba;Itatiba;Neide;Americana;Neide;39;Santa Barbara;Americana;Campinas
Americana;Jose;Sumare;Seila;Maria;Jose;66;36;Americana;Seila;Sumare;Americana;64;Itatiba;58
Neide;Campinas;51;Seila2;Americana;Maria;17;Sumare;Americana;22;Maria;Campinas;Itatiba;Sumare;Santa Barbara
41;Sumare;Seila;Itatiba;Santa Barbara;Sumare;Americana;Seila2;Santa Barbara;Campinas;Santa Barbara;14;Santa Barbara;Neide;Maria
Seila2;Maria;46;Seila;Itatiba;Santa Barbara;Campinas;Seila;57;Itatiba;51;14;Neide;Campinas;Maria
21;Sumare;72;Americana;Campinas;Americana;Not Named;Itatiba;Maria;Maria;Neide;Campinas;38;Campinas;Campinas
Americana;Seila;Jose;62;Sumare;Americana;Americana;Itatiba;Seila2;Not Named;35;Campinas;Seila2;Campinas;Americana
66;Neide;Not Named;45;Itatiba;Itatiba;64;Seila2;46;70;Maria;Campinas;Santa Barbara;Maria;Campinas
Santa Barbara;Neide;Maria;Americana;42;36;Campinas;Santa Barbara;Campinas;Americana;Americana;Maria;Jose;Santa Barbara;Itatiba
Seila2;Santa Barbara;Maria;63;16;Americana;Itatiba;Neide;Itatiba;Itatiba;Campinas;Itatiba;Itatiba;58;Seila
Santa Barbara;Itatiba;Americana;Seila;47;Itatiba;Santa Barbara;Seila;Maria;25;Itatiba;Itatiba;Campinas;Not Named;60
Americana;Campinas;Sumare;54;Sumare;37;Itatiba;Maria;Seila;Seila2;76;Itatiba;Neide;Sumare;76
Campinas;Americana;27;Itatiba;Campinas;Campinas;Campinas;Campinas;Seila;59;Not Named;Itatiba;67;Americana;Sumare
57;Campinas;Americana;66;Americana;Maria;18;Campinas;Sumare;Santa Barbara;43;34;Sumare;Itatiba;Campinas
Americana;Itatiba;Campinas;Americana;Sumare;Itatiba;53;Itatiba;Campinas;Seila2;Campinas;Sumare;Jose;Itatiba;49
46;Sumare;73;Americana;Itatiba;75;52;Santa Barbara;76;Santa Barbara;Americana;Americana;Campinas;Itatiba;58
Campinas;21;Itatiba;18;Sumare;Not Named;Neide;34;38;Neide;Americana;Campinas;70;45;Americana
Jose;12;65;Itatiba;Itatiba;Campinas;Santa Barbara;Maria;Campinas;Seila;Campinas;55;Santa Barbara;Santa Barbara;Maria
74;Seila;Campinas;13;39;Itatiba;Santa Barbara;Itatiba;15;11;60;46;Sumare;70;38
Maria;Santa Barbara;49;Itatiba;Not Named;Campinas;Sumare;Americana;Santa Barbara;Seila;Seila;Not Named;78;44;45
Not Named;62;Itatiba;64;Maria;Americana;Seila2;63;25;Santa Barbara;Campinas;35;Campinas;Campinas;62
Campinas;Campinas;Santa Barbara;Seila2;Seila2;Maria;Campinas;29;Campinas;Campinas;Itatiba;Americana;15;Seila;Campinas
Seila;Maria;Americana;Neide;Itatiba;37;Seila2;Santa Barbara;Campinas;Americana;Americana;Not Named;24;61;Seila
Americana;Campinas;Americana;Itatiba;Santa Barbara;Santa Barbara;Itatiba;60;Santa Barbara;Not Named;Americana;Neide;Santa Barbara;Americana;Itatiba
Campinas;Seila2;Campinas;Americana;50;73;Neide;Americana;Maria;Americana;76;42;49;Sumare;Americana
Santa Barbara;Americana;Itatiba;77;Campinas;Americana;Jose;Santa Barbara;Santa Barbara;Campinas;36;Jose;Americana;Campinas;Sumare
56;23;Campinas;19;Jose;Seila2;Itatiba;24;Campinas;Maria;Santa Barbara;Maria;Itatiba;Campinas;Campinas
22;48;Seila2;23;Campinas;Campinas;Maria;Santa Barbara;24;Maria;16;Americana;Americana;Itatiba;Seila
Itatiba;Seila;23;Itatiba;Sumare;Campinas;50;Itatiba;Sumare;Sumare;Sumare;62;36;Campinas;Itatiba
Sumare;Itatiba;Itatiba;Jose;13;Sumare;Seila2;Maria;Americana;51;31;78;Campinas;Campinas;Americana
Americana;70;48;57;Itatiba;71;36;54;Itatiba;Sumare;Campinas;Seila;Maria;Not Named;Americana
Seila2;Neide;Santa Barbara;Seila;Not Named;Campinas;Seila2;27;15;33;Itatiba;Campinas;Seila;Americana;Itatiba
Neide;Itatiba;Itatiba;60;Campinas;Neide;Maria;Santa Barbara;17;69;Itatiba;Seila;Campinas;Itatiba;56
57;75;Not Named;19;Americana;Neide;57;29;67;Maria;Americana;Americana;Seila2;Sumare;Americana
Americana;Americana;Itatiba;Itatiba;45;Sumare;34;Sumare;Not Named;72;Sumare;15;45;74;Campinas
Itatiba;Campinas;Campinas;Campinas;Campinas;Campinas;19;Itatiba;17;Santa Barbara;Santa Barbara;44;Campinas;Itatiba;Seila2
Seila2;Americana;11;Maria;47;12;Itatiba;Maria;55;27;Itatiba;76;23;Campinas;Campinas
Campinas;Santa Barbara;Campinas;Seila;Americana;Seila2;Not Named;Maria;Maria;Seila2;Seila;Americana;Santa Barbara;Itatiba;Seila2
Not Named;Santa Barbara;57;66;Itatiba;Americana;24;Maria;51;Campinas;Sumare;18;Sumare;Itatiba;75
Campinas;Sumare;Campinas;Sumare;36;Seila2;Campinas;55;Sumare;33;Sumare;Itatiba;45;42;Seila2
69;Itatiba;Americana;22;Itatiba;Itatiba;Americana;Maria;Americana;Itatiba;24;61;Seila2;75;Santa Barbara
Itatiba;Campinas;Neide;Santa Barbara;14;Americana;Americana;Campinas;Neide;Campinas;Americana;56;39;54;Seila2
Campinas;Maria;50;49;Neide;38;Sumare;Campinas;64;Santa Barbara;Seila;Sumare;75;Campinas;23
Itatiba;Sumare;Not Named;Itatiba;Campinas;Santa Barbara;Sumare;61;Neide;19;Itatiba;Itatiba;Itatiba;Maria;Itatiba
Americana;Itatiba;45;Campinas;Maria;26;Santa Barbara;Itatiba;14;Neide;Americana;Seila2;Sumare;Maria;58
Santa Barbara;Itatiba;45;Americana;Campinas;Campinas;17;Itatiba;Maria;68;Itatiba;Campinas;63;Campinas;31
Sumare;Itatiba;Maria;60;Santa Barbara;Campinas;54;Americana;Sumare;Campinas;Americana;Maria;Campinas;Americana;Itatiba
Americana;62;72;Itatiba;Santa Barbara;28;Itatiba;Itatiba;Itatiba;Americana;Santa Barbara;Santa Barbara;Americana;Maria;Americana
23;Santa Barbara;67;Seila2;Itatiba;Jose;Itatiba;Itatiba;Neide;Sumare;Itatiba;38;17;15;55
Sumare;Itatiba;Itatiba;73;Santa Barbara;Americana;Americana;Neide;Not Named;Seila2;Santa Barbara;Americana;Santa Barbara;Santa Barbara;Sumare
Americana;Itatiba;Itatiba;Campinas;Itatiba;Seila;23;Americana;22;46;42;Americana;Itatiba;Seila2;Santa Barbara
Americana;Itatiba;Maria;Americana;49;Neide;23;Seila2;Itatiba;Seila;Campinas;Americana;Sumare;Campinas;Campinas
Santa Barbara;Campinas;Itatiba;Campinas;Not Named;75;Not Named;55;Neide;Santa Barbara;Americana;Campinas;Seila;20;Campinas
Neide;Neide;Not Named;29;Santa Barbara;11;68;Neide;Campinas;Americana;Americana;54;Santa Barbara;Americana;25
Sumare;Americana;36;Santa Barbara;Santa Barbara;34;Itatiba;Itatiba;Maria;20;Itatiba;Campinas;Santa Barbara;Itatiba;Itatiba
Maria;40;74;Jose;Seila2;Campinas;Americana;45;Campinas;Americana;Santa Barbara;30;Americana;Santa Barbara;Campinas
Not Named;Neide;Sumare;27;Maria;Santa Barbara;Campinas;Sumare;Santa Barbara;Itatiba;61;Campinas;Campinas;16;Americana
Campinas;15;Seila;Sumare;Americana;Neide;Sumare;Americana;Jose;19;Americana;Santa Barbara;Seila;25;Itatiba
Sumare;Americana;Americana;Campinas;76;25;Campinas;Jose;Itatiba;Seila2;Neide;Not Named;Santa Barbara;75;Santa Barbara
Seila2;Campinas;66;Seila;Itatiba;Sumare;Seila2;Neide;Campinas;Maria;Campinas;39;Americana;Santa Barbara;Seila2
Campinas;14;Americana;Itatiba;Campinas;45;47;Americana;Sumare;Itatiba;Maria;Seila2;Americana;23;Santa Barbara
62;68;Sumare;23;43;Not Named;Seila;Americana;Americana;Itatiba;16;Americana;Jose;Itatiba;62
65;Santa Barbara;Itatiba;Campinas;58;Americana;Sumare;Itatiba;37;Itatiba;30;24;47;Neide;55
50;38;73;20;Campinas;Americana;29;36;Americana;Neide;Neide;Itatiba;71;62;Sumare
Americana;Campinas;Santa Barbara;Americana;Itatiba;23;43;Jose;Itatiba;Itatiba;Neide;Seila;Itatiba;Americana;56
38;Itatiba;75;26;65;Campinas;Campinas;Campinas;Americana;Seila2;Itatiba;Itatiba;Itatiba;Santa Barbara;Campinas
Neide;Americana;Maria;Neide;Americana;Americana;Americana;25;Itatiba;Itatiba;Seila2;Americana;Itatiba;Americana;Maria
Americana;Jose;Seila2;Itatiba;Not Named;27;Americana;Campinas;Americana;52;Americana;37;23;Campinas;Americana
Sumare;Not Named;61;Sumare;63;Sumare;Neide;Campinas;50;Sumare;Campinas;Americana;14;Neide;Itatiba
19;23;Itatiba;Sumare;Americana;Maria;Sumare;Americana;26;33;Campinas;12;Itatiba;15;Itatiba
Neide;Seila;Not Named;Itatiba;Sumare;Itatiba;Itatiba;69;Itatiba;Americana;Americana;Itatiba;Not Named;24;Campinas
Sumare;66;52;Americana;27;Americana;14;Americana;18;Santa Barbara;Americana;Campinas;Seila2;Americana;Campinas
Santa Barbara;75;46;Neide;Americana;Campinas;Sumare;Santa Barbara;Sumare;Santa Barbara;Sumare;34;Americana;Maria;59
Itatiba;Campinas;Americana;Campinas;Itatiba;Campinas;Campinas;54;63;Not Named;72;72;Itatiba;Not Named;30
